0.5,,561,578,608,608,663,603,619,876,1015,1448
1,,884,901,947,953,1045,809,853,1189,1391,2238
1.5,,1207,1224,1286,1298,1427,1015,1087,1502,1767,3028
2,,1530,1547,1625,1643,1809,1221,1321,1815,2143,3818
