0.5,,279,287,302,302,329,319,327,435,504,720
1,,439,447,470,473,519,428,451,591,691,1112
1.5,,599,607,638,644,709,537,575,747,878,1504
2,,759,767,806,815,899,646,699,903,1065,1896
